recomb_multiplier	k_adapt	gamma_shape	replicate	seed
0.5	10000	0.4	52	1202042855639704e3
1	10000	0.4	52	1.1380657064936241e+18
2	10000	0.4	52	1634382793896466e3
4	10000	0.4	52	91752503858049490
0.5	10000	0.4	53	137140448277435440
1	10000	0.4	53	5.6002836243329517e+17
2	10000	0.4	53	545252781371014340
4	10000	0.4	53	1125667527805783200
0.5	10000	0.4	54	1295611511979835e3
1	10000	0.4	54	1857663686230964200
2	10000	0.4	54	734628146518272300
4	10000	0.4	54	1222901507314294300
0.5	10000	0.4	55	707271440297952400
1	10000	0.4	55	1297721852844096e3
2	10000	0.4	55	2247578805563282400
4	10000	0.4	55	282975536704087500
0.5	10000	0.4	56	2073535022302063e3
1	10000	0.4	56	1468995937132457200
2	10000	0.4	56	680066492761233400
4	10000	0.4	56	2020914128499108400
0.5	10000	0.4	57	1424947800281819400
1	10000	0.4	57	1906861280736685600
2	10000	0.4	57	1016986832056088200
4	10000	0.4	57	2139445626529336300
0.5	10000	0.4	58	2261149452082261500
1	10000	0.4	58	2129106011993055700
2	10000	0.4	58	1710972861938475500
4	10000	0.4	58	2269085747877025800
0.5	10000	0.4	59	1555072748749103e3
1	10000	0.4	59	2037098979304630300
2	10000	0.4	59	805304453398886500
4	10000	0.4	59	1.8156964344997919e+18
0.5	10000	0.4	60	938764588370740200
1	10000	0.4	60	1362168062371295200
2	10000	0.4	60	127527549882196460
4	10000	0.4	60	1556161371444910300
0.5	10000	0.4	61	1755483833729154e3
1	10000	0.4	61	1106638621034752300
2	10000	0.4	61	29176098819067616
4	10000	0.4	61	1067101466398510600
0.5	10000	0.4	62	1562350466444854800
1	10000	0.4	62	2011010506539971e3
2	10000	0.4	62	911156687988859600
4	10000	0.4	62	1178311975571149e3
0.5	10000	0.4	63	165830210463748e4
1	10000	0.4	63	1538446142550212600
2	10000	0.4	63	1141316125185443200
4	10000	0.4	63	2145286993912587500
0.5	10000	0.4	64	1398209597066344200
1	10000	0.4	64	47153093588608690
2	10000	0.4	64	1693587455476843500
4	10000	0.4	64	218749169779450200
0.5	10000	0.4	65	1274608852937173500
1	10000	0.4	65	2006247266168916e3
2	10000	0.4	65	983904900845555200
4	10000	0.4	65	790375926716837500
0.5	10000	0.4	66	756510900593939200
1	10000	0.4	66	534803032843384900
2	10000	0.4	66	802297293691690900
4	10000	0.4	66	1745877769356095e3
0.5	10000	0.4	67	523970490717785900
1	10000	0.4	67	800715475035089500
2	10000	0.4	67	148944162675517380
4	10000	0.4	67	1284543819375949600
0.5	10000	0.4	68	1528813150559754e3
1	10000	0.4	68	1.4069250977241979e+17
2	10000	0.4	68	4.1077607520247283e+17
4	10000	0.4	68	2266791352997982700
0.5	10000	0.4	69	1914435494021063200
1	10000	0.4	69	1458237749686483500
2	10000	0.4	69	2051953718713457e3
4	10000	0.4	69	1014551628538262900
0.5	10000	0.4	70	1548123550028456e3
1	10000	0.4	70	543155817925092350
2	10000	0.4	70	608958752677685100
4	10000	0.4	70	2039739447634328300
0.5	10000	0.4	71	1650890462957604400
1	10000	0.4	71	1517908971177640700
2	10000	0.4	71	2128265454284144600
4	10000	0.4	71	788106517385918300
0.5	10000	0.4	72	1136117420282662500
1	10000	0.4	72	824587042863693400
2	10000	0.4	72	736571665364249e3
4	10000	0.4	72	1368298879653758500
0.5	10000	0.4	73	2250669020518105300
1	10000	0.4	73	2015972050862206700
2	10000	0.4	73	108061287987621140
4	10000	0.4	73	139749221293372350
0.5	10000	0.4	74	1561941262972234200
1	10000	0.4	74	753442552480824800
2	10000	0.4	74	242776967008947420
4	10000	0.4	74	1624692600371506200
0.5	10000	0.4	75	2102088158598676200
1	10000	0.4	75	953323527864724e3
2	10000	0.4	75	1048000222713869400
4	10000	0.4	75	2162897342212106800
0.5	10000	0.4	76	234137779054055460
1	10000	0.4	76	8.5375638215568794e+17
2	10000	0.4	76	2051203751895649e3
4	10000	0.4	76	422821591733316700
0.5	10000	0.4	77	1505008467448316e3
1	10000	0.4	77	681782727537937e3
2	10000	0.4	77	2235315911246017500
4	10000	0.4	77	1269043503535405800
0.5	10000	0.4	78	953319645069264800
1	10000	0.4	78	272542399985524930
2	10000	0.4	78	1990800908867424300
4	10000	0.4	78	1766470312427505700
0.5	10000	0.4	79	2202211149203325e3
1	10000	0.4	79	1895383432623812600
2	10000	0.4	79	1933743264016652300
4	10000	0.4	79	1157764756550401e3
0.5	10000	0.4	80	2244048430244743400
1	10000	0.4	80	941547594289582500
2	10000	0.4	80	13987286011204544
4	10000	0.4	80	902802866159765400
0.5	10000	0.4	81	136594244973073060
1	10000	0.4	81	253807829607097440
2	10000	0.4	81	1731916804865090800
4	10000	0.4	81	2072595422369831e3
0.5	10000	0.4	82	1411206660702958600
1	10000	0.4	82	1381712188004835300
2	10000	0.4	82	1738693766539686700
4	10000	0.4	82	764492276186524700
0.5	10000	0.4	83	1.7887825321625119e+18
1	10000	0.4	83	1994394771598090800
2	10000	0.4	83	1541960854203972900
4	10000	0.4	83	626764945069574900
0.5	10000	0.4	84	2268591530717991700
1	10000	0.4	84	880068853812980200
2	10000	0.4	84	1706834537961479700
4	10000	0.4	84	1174612219151406300
0.5	10000	0.4	85	1326369812949299e3
1	10000	0.4	85	469365751799266900
2	10000	0.4	85	1895802708315695e3
4	10000	0.4	85	275392897960706750
0.5	10000	0.4	86	1301062948356632300
1	10000	0.4	86	1058154765745743200
2	10000	0.4	86	1774590880492279800
4	10000	0.4	86	1188453471327454200
0.5	10000	0.4	87	2039125229625597e3
1	10000	0.4	87	507439795334256900
2	10000	0.4	87	1675410284166966300
4	10000	0.4	87	2165612376858183400
0.5	10000	0.4	88	1899570416345645800
1	10000	0.4	88	2029982095375448e3
2	10000	0.4	88	1417037893627817500
4	10000	0.4	88	1082435081862471e3
0.5	10000	0.4	89	1866480834412571600
1	10000	0.4	89	89950304737419780
2	10000	0.4	89	1790113581609504800
4	10000	0.4	89	994676308183976400
0.5	10000	0.4	90	153690087386608160
1	10000	0.4	90	1267610524648961e3
2	10000	0.4	90	1570847265248368600
4	10000	0.4	90	913831415170019600
0.5	10000	0.4	91	49872086204763256
1	10000	0.4	91	586673407334192500
2	10000	0.4	91	915689082812566400
4	10000	0.4	91	836813789907539300
0.5	10000	0.4	92	1095986760247383700
1	10000	0.4	92	1837754141494765600
2	10000	0.4	92	2025001452827089e3
4	10000	0.4	92	70515477721295896
0.5	10000	0.4	93	1286278552461728300
1	10000	0.4	93	2127056745346119700
2	10000	0.4	93	927792451870684500
4	10000	0.4	93	1096931311761881900
0.5	10000	0.4	94	1509476864453129200
1	10000	0.4	94	294504432159959040
2	10000	0.4	94	661040082854756200
4	10000	0.4	94	1299456889379870500
0.5	10000	0.4	95	604421879785993e3
1	10000	0.4	95	211439550765562140
2	10000	0.4	95	1037791246711658500
4	10000	0.4	95	253563393673008860
0.5	10000	0.4	96	1356248888031833300
1	10000	0.4	96	1826637080092005400
2	10000	0.4	96	2274596300995185700
4	10000	0.4	96	402886159264272700
0.5	10000	0.4	97	1837925960212068400
1	10000	0.4	97	170759016576861150
2	10000	0.4	97	966268369523481700
4	10000	0.4	97	336012966802180740
0.5	10000	0.4	98	2240123577745232600
1	10000	0.4	98	555527581105152200
2	10000	0.4	98	1259258726029013500
4	10000	0.4	98	797146672494299600
0.5	10000	0.4	99	725053769130962300
1	10000	0.4	99	1203587822442574600
2	10000	0.4	99	1331476161730181600
4	10000	0.4	99	1955895161584944600
0.5	10000	0.4	100	46727583797619130
1	10000	0.4	100	1595934664171883500
2	10000	0.4	100	1493014726575914e3
4	10000	0.4	100	1208473882838409700
