recomb_multiplier	k_adapt	gamma_shape	replicate	seed
2	10000	0.1	3	1754353643733059800
2	10000	0.2	3	1304818676589560600
2	10000	0.4	3	1545621340733264400
4	1000	0.1	3	1948262931945055e3
4	1000	0.2	3	265247798037083040
4	1000	0.4	3	51499470387781784
4	10000	0.1	3	1236663149619375e3
4	10000	0.2	3	622964286543571600
4	10000	0.4	3	690584995032543500
0.5	1000	0.1	4	1815229650853320200
0.5	1000	0.2	4	1904225645403202600
0.5	1000	0.4	4	298987525786830340
0.5	10000	0.1	4	1301022102613250600
0.5	10000	0.2	4	1312150251771311600
0.5	10000	0.4	4	290706245623482100
1	1000	0.1	4	2171062644147312600
1	1000	0.2	4	661215092954127200
1	1000	0.4	4	1161804278767223800
1	10000	0.1	4	1429018952850467600
1	10000	0.2	4	97892815366408640
1	10000	0.4	4	436718119740469300
2	1000	0.1	4	1240528543679506200
2	1000	0.2	4	29964653526561072
2	1000	0.4	4	1722829511928855e3
2	10000	0.1	4	2181736305796277200
2	10000	0.2	4	65997377147506870
2	10000	0.4	4	683169076643291100
4	1000	0.1	4	1068605942848231700
4	1000	0.2	4	57506793547315450
4	1000	0.4	4	1007313339548773400
4	10000	0.1	4	2058829235845728e3
4	10000	0.2	4	360636783625935900
4	10000	0.4	4	1938711663083998200
0.5	1000	0.1	5	1613113763868055300
0.5	1000	0.2	5	1504972613052178400
0.5	1000	0.4	5	983202803138425300
0.5	10000	0.1	5	276762406586343460
0.5	10000	0.2	5	664328539630834300
0.5	10000	0.4	5	206486164706538200
1	1000	0.1	5	1081692757272583800
1	1000	0.2	5	9639257029436880
1	1000	0.4	5	1655550718495982600
1	10000	0.1	5	1837517593976565800
1	10000	0.2	5	1017686850738928400
1	10000	0.4	5	998763918901963100
2	1000	0.1	5	1666580622740881400
2	1000	0.2	5	518335114385952640
2	1000	0.4	5	22375781689572452
2	10000	0.1	5	511552030796502800
2	10000	0.2	5	1668178844862407400
2	10000	0.4	5	2270750579544177e3
4	1000	0.1	5	1992487828997556700
4	1000	0.2	5	2066294646220287700
4	1000	0.4	5	1849857844594844400
4	10000	0.1	5	895475356752215200
4	10000	0.2	5	288514912727911360
4	10000	0.4	5	1996852882610632700
0.5	1000	0.1	6	1063684931100374300
0.5	1000	0.2	6	1513263478884293600
0.5	1000	0.4	6	2.1970514788456161e+18
0.5	10000	0.1	6	864615043156879400
0.5	10000	0.2	6	2220574497213334e3
0.5	10000	0.4	6	1620416882376751600
1	1000	0.1	6	1975547912966774800
1	1000	0.2	6	204451052117916e4
1	1000	0.4	6	1140863724458539600
1	10000	0.1	6	2271575287009715500
1	10000	0.2	6	1951041061414238700
1	10000	0.4	6	2235727238627641300
2	1000	0.1	6	1688856062293186300
2	1000	0.2	6	1454464834960302300
2	1000	0.4	6	1522999217400790800
2	10000	0.1	6	826371503433876e3
2	10000	0.2	6	1581992789370288600
2	10000	0.4	6	615798523113398800
4	1000	0.1	6	2131583474164993500
4	1000	0.2	6	2.3501275040739722e+17
4	1000	0.4	6	1952002326876227800
4	10000	0.1	6	1912448311949238e3
4	10000	0.2	6	1226143618990346800
4	10000	0.4	6	210082340400162e4
0.5	1000	0.1	7	1582795617575531500
0.5	1000	0.2	7	2030089754080946200
0.5	1000	0.4	7	2061709183015670300
0.5	10000	0.1	7	801957164326368100
0.5	10000	0.2	7	1118989527646748400
0.5	10000	0.4	7	1079064434809674500
1	1000	0.1	7	1749522160174903800
1	1000	0.2	7	1166737641096212700
1	1000	0.4	7	1967940348760501800
1	10000	0.1	7	1599851224126461400
1	10000	0.2	7	526228317569673900
1	10000	0.4	7	249885663941981280
2	1000	0.1	7	1645179173770042400
2	1000	0.2	7	78053437275933140
2	1000	0.4	7	2162381482292034600
2	10000	0.1	7	1083336905571715800
2	10000	0.2	7	1673332571270446600
2	10000	0.4	7	1388418153654098700
4	1000	0.1	7	947191783844722200
4	1000	0.2	7	85794174191288460
4	1000	0.4	7	172924541453099260
4	10000	0.1	7	1792290812699927600
4	10000	0.2	7	1782626848910713300
4	10000	0.4	7	780478082469250200
0.5	1000	0.1	8	1009988980718176500
0.5	1000	0.2	8	305432719897822460
0.5	1000	0.4	8	828259452543241700
0.5	10000	0.1	8	1568931234181880800
0.5	10000	0.2	8	828827294432358100
0.5	10000	0.4	8	1239206100288492800
1	1000	0.1	8	204912121502875260
1	1000	0.2	8	1315203736974807800
1	1000	0.4	8	295670583612048300
1	10000	0.1	8	1401867413517471e3
1	10000	0.2	8	1492500501749337600
1	10000	0.4	8	1629711047514463e3
2	1000	0.1	8	1610955038140126700
2	1000	0.2	8	1.6723038526297722e+17
2	1000	0.4	8	5.1816098153085357e+17
2	10000	0.1	8	1683891911923197e3
2	10000	0.2	8	2195411635340072700
2	10000	0.4	8	1988886745112366600
4	1000	0.1	8	801000400718951600
4	1000	0.2	8	757682516922698800
4	1000	0.4	8	1224858325087504400
4	10000	0.1	8	1699495662965262300
4	10000	0.2	8	165267630370854140
4	10000	0.4	8	452308080496901440
0.5	1000	0.1	9	101404756614360880
0.5	1000	0.2	9	1168615938031073e3
0.5	1000	0.4	9	922554570129978500
0.5	10000	0.1	9	744025354487362200
0.5	10000	0.2	9	636147001040947700
0.5	10000	0.4	9	1763544253002503700
1	1000	0.1	9	37764620323361336
1	1000	0.2	9	574492906870448960
1	1000	0.4	9	369946700997954700
1	10000	0.1	9	2300871430161943600
1	10000	0.2	9	1997115294602283800
1	10000	0.4	9	948929243182272600
2	1000	0.1	9	1089482436564804500
2	1000	0.2	9	92670867908952260
2	1000	0.4	9	1634281583994982100
2	10000	0.1	9	44528217273783030
2	10000	0.2	9	1.2530434005157921e+18
2	10000	0.4	9	30717925770629448
4	1000	0.1	9	1017482199762901800
4	1000	0.2	9	2044202603395936e3
4	1000	0.4	9	710869218322730100
4	10000	0.1	9	695869363785664500
4	10000	0.2	9	1006963868754016300
4	10000	0.4	9	1608011305726762500
0.5	1000	0.1	10	1395826831395723e3
0.5	1000	0.2	10	235132392078582900
0.5	1000	0.4	10	2003625343303919e3
0.5	10000	0.1	10	1516727581164051200
0.5	10000	0.2	10	546815489041513100
0.5	10000	0.4	10	1901253540866595300
1	1000	0.1	10	1787684605853830700
1	1000	0.2	10	659848332255936e3
1	1000	0.4	10	1248891344192907800
1	10000	0.1	10	918949284207985900
1	10000	0.2	10	1329412888082004700
1	10000	0.4	10	115742893817780900
2	1000	0.1	10	2170845247606996e3
2	1000	0.2	10	1766871880535387100
2	1000	0.4	10	1047876151180109400
2	10000	0.1	10	1112404940426960400
2	10000	0.2	10	1469345489292883500
2	10000	0.4	10	1071629247585576400
4	1000	0.1	10	366484794652681860
4	1000	0.2	10	2287552491627275500
4	1000	0.4	10	1916702021619464200
4	10000	0.1	10	1939223154305530600
4	10000	0.2	10	2166560664531529200
4	10000	0.4	10	491003867565565800
0.5	1000	0.1	11	595572808149653900
0.5	1000	0.2	11	1243234334248831500
0.5	1000	0.4	11	1571839473660355e3
0.5	10000	0.1	11	1710475422248689e3
0.5	10000	0.2	11	922461593335799e3
0.5	10000	0.4	11	1927090960780432400
1	1000	0.1	11	933935199042929900
1	1000	0.2	11	3.0932995238393683e+17
1	1000	0.4	11	1239541396691218200
1	10000	0.1	11	2298901352340211200
1	10000	0.2	11	937084892668086900
1	10000	0.4	11	1.7581492391703199e+18
2	1000	0.1	11	1145709363280610700
2	1000	0.2	11	362784832584531100
2	1000	0.4	11	1557602583174827e3
2	10000	0.1	11	1722955788131772200
2	10000	0.2	11	972958835314949800
2	10000	0.4	11	2053467108822944800
4	1000	0.1	11	2126847642279565300
4	1000	0.2	11	355207286769433700
4	1000	0.4	11	421667409875075300
4	10000	0.1	11	548243878731100700
4	10000	0.2	11	1714949700006832400
4	10000	0.4	11	1775797356028902e3
0.5	1000	0.1	12	221754641341927360
0.5	1000	0.2	12	1691292036866085400
0.5	1000	0.4	12	1064750546051173100
0.5	10000	0.1	12	723305114227571e3
0.5	10000	0.2	12	8.3270851677939994e+17
0.5	10000	0.4	12	1703630888352458e3
1	1000	0.1	12	1774577611721619e3
1	1000	0.2	12	1281673464081833200
1	1000	0.4	12	5.4318191607060557e+17
1	10000	0.1	12	529037531565419100
1	10000	0.2	12	2103271774543014100
1	10000	0.4	12	1750323566130783200
2	1000	0.1	12	1217331656878062e3
2	1000	0.2	12	2293766782792638e3
2	1000	0.4	12	1233458541255923500
2	10000	0.1	12	1976160144816401e3
2	10000	0.2	12	219256115673452060
2	10000	0.4	12	1230968123018007300
4	1000	0.1	12	1860705742901734100
4	1000	0.2	12	1765266105164146e3
4	1000	0.4	12	1930705565677383400
4	10000	0.1	12	2186731334597551e3
4	10000	0.2	12	175267939006075200
4	10000	0.4	12	15181814983187096
0.5	1000	0.1	13	1758192120633813800
0.5	1000	0.2	13	8.5652070274427994e+17
0.5	1000	0.4	13	721809740552047600
0.5	10000	0.1	13	2122691732710774e3
0.5	10000	0.2	13	2200978422208563e3
0.5	10000	0.4	13	2218466830626958300
1	1000	0.1	13	1199408840938903600
1	1000	0.2	13	540898769642483460
1	1000	0.4	13	1818575364948444e3
1	10000	0.1	13	1535155764073425700
1	10000	0.2	13	387252978577498240
1	10000	0.4	13	1260863636577879800
2	1000	0.1	13	144339173203318900
2	1000	0.2	13	292657238840417700
2	1000	0.4	13	309822535627003100
2	10000	0.1	13	925089549036015700
2	10000	0.2	13	104610376984646690
2	10000	0.4	13	1194892981102079e3
4	1000	0.1	13	2168405009849484800
4	1000	0.2	13	274613860984987870
4	1000	0.4	13	1098829405104999800
4	10000	0.1	13	1796339175422903800
4	10000	0.2	13	81591650619767860
4	10000	0.4	13	1445900962077217800
0.5	1000	0.1	14	1903375529398494700
0.5	1000	0.2	14	1122718050441206500
0.5	1000	0.4	14	2.0572891051310561e+18
0.5	10000	0.1	14	100426522830229020
0.5	10000	0.2	14	1018386240194389500
0.5	10000	0.4	14	1402627948341946400
1	1000	0.1	14	1256142434908299800
1	1000	0.2	14	774944532080513800
1	1000	0.4	14	1369002675533498400
1	10000	0.1	14	134291367081709360
1	10000	0.2	14	1657177264161957400
1	10000	0.4	14	2120860114620835800
2	1000	0.1	14	2240704034905563600
2	1000	0.2	14	587764368553962600
2	1000	0.4	14	908570713139410600
2	10000	0.1	14	1787511523045132300
2	10000	0.2	14	2222691135057413400
2	10000	0.4	14	61595131805074896
4	1000	0.1	14	234033050269409700
4	1000	0.2	14	1757857082189161e3
4	1000	0.4	14	1599341307411537e3
4	10000	0.1	14	4.6934846451875917e+17
4	10000	0.2	14	1838547175262740500
4	10000	0.4	14	199573402903395070
0.5	1000	0.1	15	833109114214294400
0.5	1000	0.2	15	875534893985409900
0.5	1000	0.4	15	148575972898859070
0.5	10000	0.1	15	347379104256868600
0.5	10000	0.2	15	163578644235773660
0.5	10000	0.4	15	40166763052392896
1	1000	0.1	15	585832621131214e3
1	1000	0.2	15	260040257525810080
1	1000	0.4	15	403592595040939140
1	10000	0.1	15	1526088047366095e3
1	10000	0.2	15	916543238948036e3
1	10000	0.4	15	2231416132845319200
2	1000	0.1	15	1966893096444564500
2	1000	0.2	15	1627935112357249500
2	1000	0.4	15	1455183165424828400
2	10000	0.1	15	970092111534131600
2	10000	0.2	15	1019619841141142300
2	10000	0.4	15	693869511341591700
4	1000	0.1	15	1698622512764870100
4	1000	0.2	15	2044423253443320800
4	1000	0.4	15	710001970963641300
4	10000	0.1	15	650638928848133200
4	10000	0.2	15	2179182204797250800
4	10000	0.4	15	50453377200814584
0.5	1000	0.1	16	1586855460244769e3
0.5	1000	0.2	16	872954202100124800
0.5	1000	0.4	16	828635144716199600
0.5	10000	0.1	16	319318483186995800
0.5	10000	0.2	16	220524816699962430
0.5	10000	0.4	16	425809899014740500
1	1000	0.1	16	2116569323504541200
1	1000	0.2	16	2209454749218101200
1	1000	0.4	16	1010240668289069800
1	10000	0.1	16	1407922150059460900
1	10000	0.2	16	355522811578434900
1	10000	0.4	16	1671601200508077800
2	1000	0.1	16	627709885776294900
2	1000	0.2	16	1867376039534759700
2	1000	0.4	16	899702551155992600
2	10000	0.1	16	1987258213269110800
2	10000	0.2	16	1553624634084355800
2	10000	0.4	16	2034405926760516e3
4	1000	0.1	16	1404292041199110700
4	1000	0.2	16	1400090825837160700
4	1000	0.4	16	445777527742104060
4	10000	0.1	16	261883354900492350
4	10000	0.2	16	1545274373720565200
4	10000	0.4	16	754472362043518e3
0.5	1000	0.1	17	1627324267736415700
0.5	1000	0.2	17	1551086825893669e3
0.5	1000	0.4	17	1727852341035405300
0.5	10000	0.1	17	496610318869604900
0.5	10000	0.2	17	2266777304936927700
0.5	10000	0.4	17	1801722371614112800
1	1000	0.1	17	661774348183560800
1	1000	0.2	17	1315851089082057200
1	1000	0.4	17	2242622434186866700
1	10000	0.1	17	195505465070142400
1	10000	0.2	17	1752497472182225400
1	10000	0.4	17	1782863138982129700
2	1000	0.1	17	1434849971414280700
2	1000	0.2	17	1632891403751816e3
2	1000	0.4	17	968532028124668400
2	10000	0.1	17	2174984208529011700
2	10000	0.2	17	116129405549489570
2	10000	0.4	17	301836922553446140
4	1000	0.1	17	597761686312359200
4	1000	0.2	17	1935624118677596200
4	1000	0.4	17	120720638809026300
4	10000	0.1	17	2287372867127919e3
4	10000	0.2	17	1287439834388297500
4	10000	0.4	17	722046280029221200
0.5	1000	0.1	18	210203601284085060
0.5	1000	0.2	18	766747020713458700
0.5	1000	0.4	18	573987919800614900
0.5	10000	0.1	18	1056322531658768400
0.5	10000	0.2	18	499396388586046800
0.5	10000	0.4	18	2051219930744564500
1	1000	0.1	18	1656274624373765e3
1	1000	0.2	18	16773342545042316
1	1000	0.4	18	718554053282059e3
1	10000	0.1	18	212218287703378940
1	10000	0.2	18	697030376405709200
1	10000	0.4	18	1204285633490906600
2	1000	0.1	18	1376080046572339e3
2	1000	0.2	18	81667592494699520
2	1000	0.4	18	1023894815699720200
2	10000	0.1	18	969785087905867900
2	10000	0.2	18	1168104205665160200
2	10000	0.4	18	1576412472921287200
4	1000	0.1	18	1379698575211730400
4	1000	0.2	18	1373214865528100900
4	1000	0.4	18	1827687673927924500
4	10000	0.1	18	1358162726289607200
4	10000	0.2	18	1669563024035446300
4	10000	0.4	18	866870317233002600
0.5	1000	0.1	19	1.4522047883568122e+17
0.5	1000	0.2	19	437358734759151800
0.5	1000	0.4	19	1085091426809938600
0.5	10000	0.1	19	1233813809940294e3
0.5	10000	0.2	19	1107567891659151900
0.5	10000	0.4	19	2231727114111955500
1	1000	0.1	19	199875330541127940
1	1000	0.2	19	643606069338701800
1	1000	0.4	19	2270189347561934300
1	10000	0.1	19	190511717555175780
1	10000	0.2	19	1398963288634046500
1	10000	0.4	19	84913447222391140
2	1000	0.1	19	959469903400868600
2	1000	0.2	19	2013086891138836200
2	1000	0.4	19	1562653104881688600
2	10000	0.1	19	1045877290418451100
2	10000	0.2	19	1692907158557439700
2	10000	0.4	19	198790827948630500
4	1000	0.1	19	1530698075366320400
4	1000	0.2	19	1035556679123793900
4	1000	0.4	19	604134289082564900
4	10000	0.1	19	421062960353038800
4	10000	0.2	19	53415484927520680
4	10000	0.4	19	716774696021434e3
0.5	1000	0.1	20	431251986228918400
0.5	1000	0.2	20	1173790303474351e3
0.5	1000	0.4	20	459077827851885500
0.5	10000	0.1	20	2240268572356690400
0.5	10000	0.2	20	2130829811080957e3
0.5	10000	0.4	20	572005464280525e3
1	1000	0.1	20	196681950628263360
1	1000	0.2	20	471338850375523400
1	1000	0.4	20	867238348869634700
1	10000	0.1	20	1752602840378924500
1	10000	0.2	20	278312617024492900
1	10000	0.4	20	1237083605229875700
2	1000	0.1	20	595664658022982800
2	1000	0.2	20	943313145890615300
2	1000	0.4	20	1.3157919107365279e+18
2	10000	0.1	20	89646518839398770
2	10000	0.2	20	1120312046940876e3
2	10000	0.4	20	1686138212586091800
4	1000	0.1	20	1690569655995528e3
4	1000	0.2	20	1279830334728892e3
4	1000	0.4	20	70049676062022824
4	10000	0.1	20	101253449190076980
4	10000	0.2	20	2230600246921827300
4	10000	0.4	20	1377853872599967700
0.5	1000	0.1	21	1528787563281965e3
0.5	1000	0.2	21	1.8629709753181482e+17
0.5	1000	0.4	21	2244142960814851600
0.5	10000	0.1	21	907063137830138900
0.5	10000	0.2	21	424602442399605200
0.5	10000	0.4	21	1411281079953460700
1	1000	0.1	21	1914638094108891100
1	1000	0.2	21	353601432956857860
1	1000	0.4	21	1976199312773769700
1	10000	0.1	21	216114897229907360
1	10000	0.2	21	1359600572038019e3
1	10000	0.4	21	2222141207312825300
2	1000	0.1	21	1925995192711450600
2	1000	0.2	21	3.6571582272603277e+17
2	1000	0.4	21	6.4758880879295194e+17
2	10000	0.1	21	352096845496302140
2	10000	0.2	21	2098204395659451400
2	10000	0.4	21	1084356816449139500
4	1000	0.1	21	2065054842778391e3
4	1000	0.2	21	1886853182230771500
4	1000	0.4	21	2118132447882317300
4	10000	0.1	21	943405954207811e3
4	10000	0.2	21	1029769672956614700
4	10000	0.4	21	345698706618702850
0.5	1000	0.1	22	1826945446338670600
0.5	1000	0.2	22	1446407495191823600
0.5	1000	0.4	22	1078787734265216e3
0.5	10000	0.1	22	772088075201534e3
0.5	10000	0.2	22	1087458759662885100
0.5	10000	0.4	22	205454582530628160
1	1000	0.1	22	2165058829921877500
1	1000	0.2	22	1207233345994876e3
1	1000	0.4	22	1463686182481858600
1	10000	0.1	22	161522213633672e3
1	10000	0.2	22	1.2151759542592479e+18
1	10000	0.4	22	1180320397000235e3
2	1000	0.1	22	855106998868678900
2	1000	0.2	22	1750630795138775300
2	1000	0.4	22	2049767047285057e3
2	10000	0.1	22	978528178134129300
2	10000	0.2	22	2107186957463749600
2	10000	0.4	22	1127442182921310500
4	1000	0.1	22	793301899688523500
4	1000	0.2	22	236404707556043260
4	1000	0.4	22	2058650400317589500
4	10000	0.1	22	428876436252799800
4	10000	0.2	22	1118195738148727300
4	10000	0.4	22	72313896241868430
0.5	1000	0.1	23	1562241977291815700
0.5	1000	0.2	23	1381084615879537700
0.5	1000	0.4	23	1392045659448785700
0.5	10000	0.1	23	620646498025805300
0.5	10000	0.2	23	1014965281179778800
0.5	10000	0.4	23	762174116248402200
1	1000	0.1	23	195686926316918620
1	1000	0.2	23	1247881378871459600
1	1000	0.4	23	1.9984228058852321e+18
1	10000	0.1	23	455874907967061700
1	10000	0.2	23	1611413252108564e3
1	10000	0.4	23	1.2321575407337439e+18
2	1000	0.1	23	1907095413062436400
2	1000	0.2	23	986977652060889100
2	1000	0.4	23	1621153190905440800
2	10000	0.1	23	63385964920424930
2	10000	0.2	23	1812860218374840300
2	10000	0.4	23	1347827762888966700
4	1000	0.1	23	194449696928124740
4	1000	0.2	23	1058535394676590300
4	1000	0.4	23	1547538357061678e3
4	10000	0.1	23	1838665581772752400
4	10000	0.2	23	1684364269893757200
4	10000	0.4	23	15260187732971010
0.5	1000	0.1	24	1880768925085969400
0.5	1000	0.2	24	878926253030941200
0.5	1000	0.4	24	73055319411393150
0.5	10000	0.1	24	1188046207347045400
0.5	10000	0.2	24	1806808210626382e3
0.5	10000	0.4	24	970833906238092300
1	1000	0.1	24	478704838955932500
1	1000	0.2	24	287149084225868800
1	1000	0.4	24	2190899522207980500
1	10000	0.1	24	859011355863106700
1	10000	0.2	24	1029466824472115700
1	10000	0.4	24	156060556642456700
2	1000	0.1	24	451399704542352100
2	1000	0.2	24	2185602081835490800
2	1000	0.4	24	193528637273730980
2	10000	0.1	24	220828869855275e4
2	10000	0.2	24	1313917816944276e3
2	10000	0.4	24	750552148394666900
4	1000	0.1	24	301990633811269440
4	1000	0.2	24	2006209652161861400
4	1000	0.4	24	616248227014095600
4	10000	0.1	24	1354237070923414e3
4	10000	0.2	24	1644608326890279700
4	10000	0.4	24	2123111422791005200
0.5	1000	0.1	25	2083214939285914e3
0.5	1000	0.2	25	199344191985651400
0.5	1000	0.4	25	708300757067206300
0.5	10000	0.1	25	756749064790226e3
0.5	10000	0.2	25	575267270198792600
0.5	10000	0.4	25	557781429169462850
1	1000	0.1	25	1999152711419562200
1	1000	0.2	25	1980481621739827200
1	1000	0.4	25	565763173177510100
1	10000	0.1	25	1435910890070022700
1	10000	0.2	25	625493150068215700
1	10000	0.4	25	276372553776093570
2	1000	0.1	25	1591187579650252800
2	1000	0.2	25	387812503328546700
2	1000	0.4	25	786140120686864900
2	10000	0.1	25	321492868483958800
2	10000	0.2	25	1897592309629279700
2	10000	0.4	25	1514680538523936e3
4	1000	0.1	25	690046229061689600
4	1000	0.2	25	1504195890920085e3
4	1000	0.4	25	519080549846663100
4	10000	0.1	25	1581497097318269400
4	10000	0.2	25	685992459474426200
4	10000	0.4	25	759838077215480200
0.5	1000	0.1	26	802878339231276400
0.5	1000	0.2	26	585678851762174300
0.5	1000	0.4	26	153825149777724700
0.5	10000	0.1	26	431332811830553e3
0.5	10000	0.2	26	1765953700025548500
0.5	10000	0.4	26	2134856812426359e3
1	1000	0.1	26	1178509222418874e3
1	1000	0.2	26	1595502432741674200
1	1000	0.4	26	1309047333011306500
1	10000	0.1	26	2092692753935618300
1	10000	0.2	26	1195761844904001300
1	10000	0.4	26	915256817594492900
2	1000	0.1	26	102806377039081660
2	1000	0.2	26	1425752055151264800
2	1000	0.4	26	428248210121295600
2	10000	0.1	26	1801876383988752600
2	10000	0.2	26	1612501519326794e3
2	10000	0.4	26	959590829741651100
4	1000	0.1	26	1301176810783546600
4	1000	0.2	26	290733120610629700
4	1000	0.4	26	1992598193045818400
4	10000	0.1	26	1732055894014333400
4	10000	0.2	26	477876128163659100
4	10000	0.4	26	2098551376566147600
0.5	1000	0.1	27	727646069992879500
0.5	1000	0.2	27	663923778335810800
0.5	1000	0.4	27	1413800036450461400
0.5	10000	0.1	27	709371039272192800
0.5	10000	0.2	27	265184274079778100
0.5	10000	0.4	27	268402699265713500
1	1000	0.1	27	1712094069675083300
1	1000	0.2	27	1228144539498632700
1	1000	0.4	27	538560607603279500
1	10000	0.1	27	1040375864834764900
1	10000	0.2	27	931584265806703600
1	10000	0.4	27	950808422584373600
2	1000	0.1	27	441265429330926e3
2	1000	0.2	27	247356011920431780
2	1000	0.4	27	1651278952758385200
2	10000	0.1	27	156616585790163300
2	10000	0.2	27	2051550845128157700
2	10000	0.4	27	779728599578495700
4	1000	0.1	27	574006983125137860
4	1000	0.2	27	1104164491147540600
4	1000	0.4	27	1118388184943248100
4	10000	0.1	27	1.3667572873700321e+18
4	10000	0.2	27	1589995551142324700
4	10000	0.4	27	1497508246002596900
0.5	1000	0.1	28	794941307004775600
0.5	1000	0.2	28	835379144507931400
0.5	1000	0.4	28	1726904932168405800
0.5	10000	0.1	28	1453524141786195500
0.5	10000	0.2	28	140602697530447730
0.5	10000	0.4	28	401894297415769660
1	1000	0.1	28	2159563306907745800
1	1000	0.2	28	640837340339349100
1	1000	0.4	28	497255767018262600
1	10000	0.1	28	906652156987232600
1	10000	0.2	28	1849588063770468900
1	10000	0.4	28	850762710651378e3
2	1000	0.1	28	1728202167383521300
2	1000	0.2	28	1872736039854679300
2	1000	0.4	28	408268293790086700
2	10000	0.1	28	499442957499775500
2	10000	0.2	28	1706115170900061700
2	10000	0.4	28	619349253645038e3
4	1000	0.1	28	1578280366235970600
4	1000	0.2	28	1181520877101744400
4	1000	0.4	28	1103675651335681200
4	10000	0.1	28	1904666673275814e3
4	10000	0.2	28	1481983162836356600
4	10000	0.4	28	1149282849921760800
0.5	1000	0.1	29	2242204010385973800
0.5	1000	0.2	29	1759561860349017600
0.5	1000	0.4	29	1503596235900419800
0.5	10000	0.1	29	894701446583525200
0.5	10000	0.2	29	2208164684759210200
0.5	10000	0.4	29	2268244471888372700
1	1000	0.1	29	2102947312602987e3
1	1000	0.2	29	839401732628718500
1	1000	0.4	29	1546959544668938200
1	10000	0.1	29	402992015518630800
1	10000	0.2	29	797701403227095800
1	10000	0.4	29	69853920149101150
2	1000	0.1	29	484845735793120900
2	1000	0.2	29	1222742471782045200
2	1000	0.4	29	1765396980617778700
2	10000	0.1	29	4.3602409678525683e+17
2	10000	0.2	29	1241452248550603300
2	10000	0.4	29	873977188018719200
4	1000	0.1	29	2028967671914146600
4	1000	0.2	29	1254712150497977900
4	1000	0.4	29	1009764462153152300
4	10000	0.1	29	774621452228576500
4	10000	0.2	29	1240351901800512800
4	10000	0.4	29	1034849417190348700
0.5	1000	0.1	30	1555059117492198e3
0.5	1000	0.2	30	116886784747535180
0.5	1000	0.4	30	262434620422671360
0.5	10000	0.1	30	983015219898352300
0.5	10000	0.2	30	771346151807787e3
0.5	10000	0.4	30	1091096054424906e3
1	1000	0.1	30	995516797400709200
1	1000	0.2	30	937416062049371900
1	1000	0.4	30	2055588447605765400
1	10000	0.1	30	1569852859026428e3
1	10000	0.2	30	2029294043168316400
1	10000	0.4	30	516931778145778700
2	1000	0.1	30	1675296865368178700
2	1000	0.2	30	197713201892772e4
2	1000	0.4	30	1425113992839697400
2	10000	0.1	30	1472162884824424400
2	10000	0.2	30	1477363600717900500
2	10000	0.4	30	1540517318733514200
4	1000	0.1	30	123346021601818510
4	1000	0.2	30	865746364716857e3
4	1000	0.4	30	1604994350676802e3
4	10000	0.1	30	654447690721780100
4	10000	0.2	30	2080494290596960300
4	10000	0.4	30	231721162478743680
